C1	1.91	64.77	270.00	0.1uF	C0805
D1	20.32	47.63	90.00		SOD-123
D2	33.02	47.63	90.00		SOD-123
D3	45.72	47.63	90.00		SOD-123
D4	20.32	26.67	90.00		SOD-123
D5	33.66	26.67	90.00		SOD-123
D6	45.72	26.67	90.00		SOD-123
D7	20.32	5.71	90.00		SOD-123
D8	33.66	5.71	90.00		SOD-123
D9	45.72	5.71	90.00		SOD-123
F1	1.91	1.91	0.00	FIDUCIAL	FIDUCIAL_1MM
F2	60.96	74.30	0.00	FIDUCIAL	FIDUCIAL_1MM
IC1	8.89	62.87	0.00	74HC595D	SO16
Q1	31.75	58.42	180.00	FDN360P	SUPER-SOT3
Q2	35.56	58.42	180.00		SOT23
Q3	6.99	47.63	180.00		SOT23
Q4	19.05	58.42	180.00	FDN360P	SUPER-SOT3
Q5	44.45	58.42	180.00	FDN360P	SUPER-SOT3
Q6	22.86	58.42	180.00		SOT23
Q7	48.26	58.42	180.00		SOT23
Q8	6.99	26.67	180.00		SOT23
Q9	6.99	13.34	180.00		SOT23
R1	29.85	62.87	270.00	1K	R0805
R10	50.16	62.87	270.00	1K	R0805
R11	22.23	62.87	270.00	10K	R0805
R12	19.69	62.87	270.00	10K	R0805
R13	47.63	62.87	270.00	10K	R0805
R14	45.09	62.87	270.00	10K	R0805
R15	8.26	31.12	270.00	1K	R0805
R16	5.71	31.12	270.00	10K	R0805
R17	8.26	17.78	270.00	1K	R0805
R18	5.71	17.78	270.00	10K	R0805
R2	37.47	62.87	270.00	1K	R0805
R3	34.93	62.87	270.00	10K	R0805
R4	32.38	62.87	270.00	10K	R0805
R5	17.14	62.87	270.00	1K	R0805
R6	42.55	62.87	270.00	1K	R0805
R7	8.26	52.07	270.00	1K	R0805
R8	5.71	52.07	270.00	10K	R0805
R9	24.77	62.87	270.00	1K	R0805
