#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,87.750,42.870,182.365,136.850,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
mirror_create,1,1,87.750,42.870,0,0,0,0,0.000000,
mirror,87.750,42.870,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,31,1,AF1,FIDUCIAL,FIDUCIAL_1MM,87.75,42.87,0,Yes,
comp,31,1,AF2,FIDUCIAL,FIDUCIAL_1MM,182.37,136.85,0,Yes,
comp,32,1,C1,0.1uF,C0805,136.64,66.36,90,No,
comp,14,1,C2,22pF,C0805,150.62,69.54,-90,No,
comp,14,1,C3,22pF,C0805,150.62,74.62,90,No,
comp,32,1,C4,0.1uF,C0805,134.10,70.17,180,No,
comp,32,1,C5,0.1uF,C0805,139.19,66.36,-90,No,
comp,32,1,C6,0.1uF,C0805,139.82,96.84,0,No,
comp,32,1,C7,0.1uF,C0805,153.79,97.48,-90,No,
comp,46,1,C8,47nF,C0805,156.97,82.24,180,No,
comp,46,1,C9,47nF,C0805,156.97,84.78,180,No,
comp,3,1,C10,470uF,140CLH-0810,167.13,69.54,-90,Yes,
comp,33,1,C11,47uF,C0805,159.50,67.63,180,No,
comp,3,1,C12,470uF,140CLH-0810,170.30,85.41,90,Yes,
comp,45,1,C13,4.7uF,C0805,156.33,73.35,180,No,
comp,32,1,C14,0.1uF,C0805,156.33,70.81,180,No,
comp,32,1,C15,0.1uF,C0805,142.36,86.05,90,No,
comp,34,1,C16,680uF,140CLH-0810,93.46,61.92,-90,Yes,
comp,35,1,C17,220uF,140CLH-0810,115.05,61.92,-90,Yes,
comp,40,1,D1,SS34,SMA,94.73,46.68,180,No,
comp,37,1,IC1,74LS595D,SO16,133.47,94.31,-90,Yes,
comp,37,1,IC2,74LS595D,SO16,148.07,94.31,-90,Yes,
comp,38,1,L1,SLD10D40S100MTT,SMD10.5X10.3,103.63,46.68,90,Yes,
comp,11,1,Q1,16MHz,HC49UP,146.17,72.08,90,No,
comp,5,1,Q2,AO3414SOT23,SOT95P240X110-3N,92.83,110.81,90,No,
comp,5,1,Q3,AO3414SOT23,SOT95P240X110-3N,123.31,110.81,90,No,
comp,5,1,Q4,AO3414SOT23,SOT95P240X110-3N,153.79,110.81,90,No,
comp,6,1,Q5,AO3415,SOT95P240X110-3N,96.64,110.81,90,No,
comp,6,1,Q6,AO3415,SOT95P240X110-3N,127.12,110.81,90,No,
comp,6,1,Q7,AO3415,SOT95P240X110-3N,157.60,110.81,90,No,
comp,5,1,Q8,AO3414SOT23,SOT95P240X110-3N,102.99,110.81,90,No,
comp,5,1,Q9,AO3414SOT23,SOT95P240X110-3N,133.47,110.81,90,No,
comp,5,1,Q10,AO3414SOT23,SOT95P240X110-3N,163.95,110.81,90,No,
comp,6,1,Q11,AO3415,SOT95P240X110-3N,106.80,110.81,90,No,
comp,6,1,Q12,AO3415,SOT95P240X110-3N,137.28,110.81,90,No,
comp,6,1,Q13,AO3415,SOT95P240X110-3N,167.76,110.81,90,No,
comp,5,1,Q14,AO3414SOT23,SOT95P240X110-3N,113.15,110.81,90,No,
comp,5,1,Q15,AO3414SOT23,SOT95P240X110-3N,143.63,110.81,90,No,
comp,5,1,Q16,AO3414SOT23,SOT95P240X110-3N,174.11,110.81,90,No,
comp,6,1,Q17,AO3415,SOT95P240X110-3N,116.96,110.81,90,No,
comp,6,1,Q18,AO3415,SOT95P240X110-3N,147.44,110.81,90,No,
comp,6,1,Q19,AO3415,SOT95P240X110-3N,177.92,110.81,90,No,
comp,5,1,Q20,AO3414SOT23,SOT95P240X110-3N,104.26,90.50,-90,No,
comp,5,1,Q21,AO3414SOT23,SOT95P240X110-3N,99.18,90.50,-90,No,
comp,5,1,Q22,AO3414SOT23,SOT95P240X110-3N,94.10,90.50,-90,No,
comp,5,1,Q23,AO3414SOT23,SOT95P240X110-3N,124.58,90.50,-90,No,
comp,5,1,Q24,AO3414SOT23,SOT95P240X110-3N,119.50,90.50,-90,No,
comp,5,1,Q25,AO3414SOT23,SOT95P240X110-3N,109.34,90.50,-90,No,
comp,5,1,Q26,AO3414SOT23,SOT95P240X110-3N,114.42,90.50,-90,No,
comp,4,1,R1,10K,R0805,169.03,91.77,0,No,
comp,4,1,R2,10K,R0805,165.22,100.66,0,No,
comp,4,1,R3,10K,R0805,159.50,100.66,0,No,
comp,4,1,R4,10K,R0805,145.53,86.69,180,No,
comp,4,1,R6,10K,R0805,134.10,66.36,90,No,
